date,steps,calories
2019-11-01,0,0
2019-11-02,0,0
2019-11-03,0,0
2019-11-04,0,0
2019-11-05,0,0
2019-11-06,9243,2000
2019-11-07,10246,2096
2019-11-08,11489,2224
2019-11-09,7587,1988
2019-11-10,4954,1737
2019-11-11,11076,2108
2019-11-12,18749,2509
2019-11-13,12890,2176
2019-11-14,11806,2115
2019-11-15,13614,2161
2019-11-16,10062,2088
2019-11-17,10886,2119
2019-11-18,13480,2162
2019-11-19,16346,2404
2019-11-20,9916,2070
2019-11-21,9199,2012
2019-11-22,10338,2081
2019-11-23,8119,2029
2019-11-24,12824,2203
2019-11-25,16500,2263
2019-11-26,15853,2359
2019-11-27,7519,1910
2019-11-28,13977,2247
2019-11-29,8448,1945
2019-11-30,9049,2079
2019-12-01,6495,2007
2019-12-02,16498,2343
2019-12-03,20814,2626
2019-12-04,6919,1899
2019-12-05,10548,2152
2019-12-06,10875,2095
2019-12-07,9356,2092
2019-12-08,4214,1803
2019-12-09,9211,2047
2019-12-10,12137,2156
2019-12-11,9436,2042
2019-12-12,14554,2184
2019-12-13,8490,1991
2019-12-14,15680,2493
2019-12-15,5326,1803
2019-12-16,13718,2126
2019-12-17,16487,2347
2019-12-18,8299,1900
2019-12-19,12453,2081
2019-12-20,10979,2063
2019-12-21,6260,1918
2019-12-22,7063,1859
2019-12-23,12278,2104
2019-12-24,9567,2020
2019-12-25,7881,1908
2019-12-26,16755,2433
2019-12-27,5958,1761
2019-12-28,5923,1845
2019-12-29,8812,1914
2019-12-30,8399,1986
2019-12-31,7255,1897
2020-01-01,1997,1628
2020-01-02,11220,2009
2020-01-03,8927,1885
2020-01-04,5617,1809
2020-01-05,4805,1704
2020-01-06,9532,1894
2020-01-07,3502,1646
2020-01-08,16382,1854
2020-01-09,17713,2381
2020-01-10,12279,2618
2020-01-11,6161,1798
2020-01-12,12412,1881
2020-01-13,14609,2248
2020-01-14,14373,2009
2020-01-15,13663,2342
2020-01-16,8257,2132
2020-01-17,9938,2155
2020-01-18,11842,2194
2020-01-19,10161,1899
2020-01-20,13756,1679
2020-01-21,17981,2529
2020-01-22,7755,2106
2020-01-23,18826,2514
2020-01-24,15565,2236
2020-01-25,11832,2087
2020-01-26,8620,1925
2020-01-27,7617,1883
2020-01-28,14516,1776
2020-01-29,12458,2591
2020-01-30,5280,1717
2020-01-31,9493,2231
2020-02-01,18282,2488
2020-02-02,7367,2107
2020-02-03,21213,2663
2020-02-04,12657,2437
2020-02-05,12630,2042
2020-02-06,12338,2247
2020-02-07,7382,1986
2020-02-08,7683,1940
2020-02-09,5208,1895
2020-02-10,7409,1834
2020-02-11,14886,2219
2020-02-12,14637,2425
2020-02-13,11953,2061
2020-02-14,4638,1900
2020-02-15,7792,1984
2020-02-16,6002,1652
2020-02-17,9639,2046
2020-02-18,12997,2235
2020-02-19,8727,1927
2020-02-20,11174,2146
2020-02-21,12973,2326
2020-02-22,8584,1931
2020-02-23,153,1478
2020-02-24,15304,2355
2020-02-25,13344,2157
2020-02-26,13680,2234
2020-02-27,15236,2413
2020-02-28,9925,2023
2020-02-29,13963,2144
2020-03-01,10447,2134
2020-03-02,273,1374
2020-03-03,6684,1713
2020-03-04,7560,1944
2020-03-05,5810,1772
2020-03-06,7294,1877
2020-03-07,7034,1806
2020-03-08,7091,1973
2020-03-09,16648,2348
2020-03-10,17067,2406
2020-03-11,9763,2035
2020-03-12,7080,1834
2020-03-13,14138,2155
2020-03-14,6427,1975
2020-03-15,5914,1762
2020-03-16,5684,1801
2020-03-17,7855,1829
2020-03-18,9610,2094
2020-03-19,7195,2060
2020-03-20,8379,1910
2020-03-21,1718,1554
2020-03-22,9010,1870
2020-03-23,12666,2160
2020-03-24,10418,2240
2020-03-25,9107,1998
2020-03-26,10188,2041
2020-03-27,7149,1855
2020-03-28,13075,2172
2020-03-29,7970,1891
2020-03-30,9210,1997
2020-03-31,488,1028
