date,steps,calories
2019-11-01,411,1911
2019-11-02,21036,3958
2019-11-03,5840,2889
2019-11-04,16483,3953
2019-11-05,22329,5016
2019-11-06,13092,3698
2019-11-07,17737,4159
2019-11-08,18728,4382
2019-11-09,6732,2745
2019-11-10,6761,2760
2019-11-11,13981,3510
2019-11-12,17504,3716
2019-11-13,15675,3757
2019-11-14,19704,3768
2019-11-15,10308,3179
2019-11-16,20966,3824
2019-11-17,11738,3337
2019-11-18,17916,3884
2019-11-19,9460,2889
2019-11-20,16304,3853
2019-11-21,8133,2817
2019-11-22,7391,2586
2019-11-23,6690,2831
2019-11-24,14428,3390
2019-11-25,9446,3304
2019-11-26,14819,3531
2019-11-27,11558,3325
2019-11-28,14498,3870
2019-11-29,18461,4222
2019-11-30,12564,3396
2019-12-01,10273,3471
2019-12-02,16083,3745
2019-12-03,17480,3834
2019-12-04,15580,3571
2019-12-05,16724,3871
2019-12-06,15567,3808
2019-12-07,5831,2710
2019-12-08,11579,3328
2019-12-09,22656,4329
2019-12-10,19470,4251
2019-12-11,18762,3967
2019-12-12,18545,4108
2019-12-13,20325,4225
2019-12-14,10382,3339
2019-12-15,4724,2747
2019-12-16,19651,4161
2019-12-17,20030,4299
2019-12-18,17962,4101
2019-12-19,19380,3956
2019-12-20,23042,4889
2019-12-21,5683,2696
2019-12-22,13713,3357
2019-12-23,15738,3686
2019-12-24,10771,3128
2019-12-25,4737,2735
2019-12-26,2414,2309
2019-12-27,13570,3459
2019-12-28,3778,2395
2019-12-29,8291,2868
2019-12-30,12068,3461
2019-12-31,8574,2986
2020-01-01,3786,2529
2020-01-02,16366,3837
2020-01-03,21206,4198
2020-01-04,5505,2665
2020-01-05,9205,2978
2020-01-06,16698,3780
2020-01-07,22046,4421
2020-01-08,11875,3487
2020-01-09,12677,3429
2020-01-10,14740,3955
2020-01-11,6356,2701
2020-01-12,8220,3117
2020-01-13,11225,3449
2020-01-14,23909,4371
2020-01-15,17218,4134
2020-01-16,13471,3625
2020-01-17,15080,3960
2020-01-18,10668,3082
2020-01-19,12767,3326
2020-01-20,12969,3563
2020-01-21,19587,4179
2020-01-22,12449,3524
2020-01-23,16912,3800
2020-01-24,11778,3464
2020-01-25,12526,3320
2020-01-26,7724,2819
2020-01-27,18901,4116
2020-01-28,13924,3374
2020-01-29,15027,3720
2020-01-30,19324,4403
2020-01-31,20418,4315
2020-02-01,6750,2754
2020-02-02,10674,3245
2020-02-03,14075,3796
2020-02-04,15168,3927
2020-02-05,17656,4048
2020-02-06,23201,4745
2020-02-07,11461,3647
2020-02-08,6688,2835
2020-02-09,11882,3404
2020-02-10,14296,3862
2020-02-11,23778,4742
2020-02-12,13367,3539
2020-02-13,16553,3775
2020-02-14,15395,3742
2020-02-15,6220,2795
2020-02-16,9840,3234
2020-02-17,16697,3871
2020-02-18,18417,4147
2020-02-19,11235,3479
2020-02-20,14733,3839
2020-02-21,21907,4652
2020-02-22,11523,3252
2020-02-23,10247,3200
2020-02-24,18858,3972
2020-02-25,13538,3784
2020-02-26,17659,4051
2020-02-27,20871,4042
2020-02-28,14736,3695
2020-02-29,8254,3000
2020-03-01,6465,2773
2020-03-02,13185,3638
2020-03-03,14399,3624
2020-03-04,26124,4538
2020-03-05,13892,3415
2020-03-06,17486,3794
2020-03-07,9065,3127
2020-03-08,4867,2667
2020-03-09,24194,4291
2020-03-10,16479,3667
2020-03-11,18553,4112
2020-03-12,15869,3650
2020-03-13,19075,4152
2020-03-14,6819,2852
2020-03-15,2782,2386
2020-03-16,17433,3673
2020-03-17,14218,3555
2020-03-18,15606,3989
2020-03-19,15483,3662
2020-03-20,13851,3545
2020-03-21,16478,4019
2020-03-22,9512,3175
2020-03-23,19509,4383
2020-03-24,12330,3284
2020-03-25,13209,3579
2020-03-26,21661,4412
2020-03-27,10031,3079
2020-03-28,8162,3001
2020-03-29,4358,2577
2020-03-30,18820,4090
2020-03-31,14243,3601
