date,steps,calories
2019-11-01,0,0
2019-11-02,0,0
2019-11-03,0,0
2019-11-04,0,0
2019-11-05,0,0
2019-11-06,0,0
2019-11-07,0,0
2019-11-08,0,0
2019-11-09,0,0
2019-11-10,0,0
2019-11-11,14174,3401
2019-11-12,24821,4860
2019-11-13,11012,3259
2019-11-14,19199,4171
2019-11-15,13145,3766
2019-11-16,15805,3656
2019-11-17,20656,3935
2019-11-18,17151,3900
2019-11-19,17937,3836
2019-11-20,19813,4094
2019-11-21,16706,3879
2019-11-22,11921,3503
2019-11-23,23972,5434
2019-11-24,20468,4983
2019-11-25,19289,3895
2019-11-26,17322,3930
2019-11-27,19828,3990
2019-11-28,22844,4541
2019-11-29,14600,3609
2019-11-30,20736,4462
2019-12-01,29456,4716
2019-12-02,24322,4513
2019-12-03,18682,4000
2019-12-04,20827,4025
2019-12-05,11971,3499
2019-12-06,12445,3543
2019-12-07,16678,4394
2019-12-08,28359,4871
2019-12-09,17406,4121
2019-12-10,17234,4026
2019-12-11,18289,4066
2019-12-12,22473,4460
2019-12-13,1636,2097
2019-12-14,0,1900
2019-12-15,0,1900
2019-12-16,0,1900
2019-12-17,12512,3311
2019-12-18,15660,3690
2019-12-19,19479,5246
2019-12-20,11564,3936
2019-12-21,33649,5601
2019-12-22,16694,4090
2019-12-23,22054,4676
2019-12-24,12261,4157
2019-12-25,3477,2405
2019-12-26,10089,3196
2019-12-27,16800,3672
2019-12-28,10655,3546
2019-12-29,14090,4231
2019-12-30,13145,3212
2019-12-31,11431,3453
2020-01-01,21961,4481
2020-01-02,13047,3312
2020-01-03,9298,3040
2020-01-04,24885,5063
2020-01-05,13328,3362
2020-01-06,13764,3564
2020-01-07,17754,3800
2020-01-08,7713,3427
2020-01-09,13620,3497
2020-01-10,24950,4630
2020-01-11,5520,3057
2020-01-12,1561,2506
2020-01-13,999,2152
2020-01-14,1792,2291
2020-01-15,7088,2774
2020-01-16,5668,2598
2020-01-17,9761,3024
2020-01-18,9302,3056
2020-01-19,10593,2933
2020-01-20,5152,2697
2020-01-21,17177,4216
2020-01-22,6205,3088
2020-01-23,18216,4123
2020-01-24,7483,3055
2020-01-25,10921,3580
2020-01-26,39835,6490
2020-01-27,10823,3534
2020-01-28,20973,5705
2020-01-29,14226,4562
2020-01-30,8324,3087
2020-01-31,14983,3462
2020-02-01,16555,3745
2020-02-02,16201,3740
2020-02-03,19830,4070
2020-02-04,18381,3873
2020-02-05,12670,3536
2020-02-06,18047,3805
2020-02-07,23542,4376
2020-02-08,21989,4294
2020-02-09,33775,5253
2020-02-10,18113,3913
2020-02-11,20973,4148
2020-02-12,21001,4389
2020-02-13,15761,3700
2020-02-14,17383,4042
2020-02-15,15634,3475
2020-02-16,18899,4121
2020-02-17,21566,4423
2020-02-18,18045,3729
2020-02-19,10859,3210
2020-02-20,20914,4378
2020-02-21,29910,5418
2020-02-22,5226,2677
2020-02-23,27158,4646
2020-02-24,20088,4351
2020-02-25,25237,4448
2020-02-26,18331,3813
2020-02-27,18461,4118
2020-02-28,21571,4254
2020-02-29,14835,3535
2020-03-01,13732,3669
2020-03-02,17074,3914
2020-03-03,15442,3707
2020-03-04,22005,4234
2020-03-05,16927,3936
2020-03-06,19224,4018
2020-03-07,18189,4214
2020-03-08,16914,4817
2020-03-09,19262,4152
2020-03-10,17394,3952
2020-03-11,12738,3259
2020-03-12,24172,4665
2020-03-13,11473,3270
2020-03-14,10628,3612
2020-03-15,19890,3816
2020-03-16,10972,3297
2020-03-17,19076,3715
2020-03-18,12308,3174
2020-03-19,18096,3493
2020-03-20,12536,3136
2020-03-21,20021,4130
2020-03-22,15709,3517
2020-03-23,10083,3675
2020-03-24,14324,3637
2020-03-25,12520,4129
2020-03-26,13005,3287
2020-03-27,10948,3768
2020-03-28,21355,4063
2020-03-29,5111,3905
2020-03-30,22280,4205
2020-03-31,7519,3595
