date,steps,calories
2019-11-01,3062,2142
2019-11-02,1472,1958
2019-11-03,610,1859
2019-11-04,2177,1940
2019-11-05,1690,1922
2019-11-06,597,1852
2019-11-07,4588,2245
2019-11-08,4786,2244
2019-11-09,1709,1878
2019-11-10,729,1833
2019-11-11,340,1760
2019-11-12,4724,2237
2019-11-13,1061,1827
2019-11-14,4203,2174
2019-11-15,4553,2126
2019-11-16,2679,2078
2019-11-17,1594,1943
2019-11-18,1838,1970
2019-11-19,1998,1976
2019-11-20,1233,1952
2019-11-21,5438,2213
2019-11-22,4593,2245
2019-11-23,2103,1974
2019-11-24,1124,1880
2019-11-25,847,1871
2019-11-26,907,1896
2019-11-27,4527,2168
2019-11-28,4089,2175
2019-11-29,2965,2103
2019-11-30,2061,2029
2019-12-01,1007,1873
2019-12-02,2161,2004
2019-12-03,865,1891
2019-12-04,2232,2124
2019-12-05,2445,2336
2019-12-06,1866,2039
2019-12-07,487,1784
2019-12-08,771,1844
2019-12-09,5002,2233
2019-12-10,2938,2140
2019-12-11,871,1954
2019-12-12,1608,1959
2019-12-13,2942,2128
2019-12-14,2166,2002
2019-12-15,558,1816
2019-12-16,522,1858
2019-12-17,567,1805
2019-12-18,7497,2520
2019-12-19,2073,2014
2019-12-20,3141,2159
2019-12-21,866,1921
2019-12-22,947,1947
2019-12-23,1828,2094
2019-12-24,4974,2372
2019-12-25,2354,2071
2019-12-26,1224,1968
2019-12-27,8280,2749
2019-12-28,2539,2077
2019-12-29,1556,1955
2019-12-30,7533,2756
2019-12-31,1659,2020
2020-01-01,1731,2381
2020-01-02,2530,1989
2020-01-03,767,1855
2020-01-04,1215,1919
2020-01-05,696,1850
2020-01-06,389,1789
2020-01-07,644,1841
2020-01-08,1071,1942
2020-01-09,614,1852
2020-01-10,2089,1955
2020-01-11,1609,2003
2020-01-12,1249,1917
2020-01-13,861,1874
2020-01-14,693,1865
2020-01-15,827,1904
2020-01-16,1205,1937
2020-01-17,2789,2194
2020-01-18,3036,2174
2020-01-19,1129,1909
2020-01-20,1975,1997
2020-01-21,4620,2298
2020-01-22,2130,2027
2020-01-23,2218,2031
2020-01-24,802,1886
2020-01-25,1980,2007
2020-01-26,757,1922
2020-01-27,2118,2015
2020-01-28,954,1936
2020-01-29,2126,2018
2020-01-30,1017,1892
2020-01-31,2570,2086
2020-02-01,1217,1991
2020-02-02,1372,1952
2020-02-03,1063,1954
2020-02-04,589,1839
2020-02-05,2368,2124
2020-02-06,819,1917
2020-02-07,2583,2070
2020-02-08,855,1921
2020-02-09,345,1913
2020-02-10,337,1763
2020-02-11,1974,2011
2020-02-12,1052,1956
2020-02-13,1929,2063
2020-02-14,2259,2159
2020-02-15,755,1902
2020-02-16,782,1875
2020-02-17,1957,2003
2020-02-18,928,1954
2020-02-19,1470,1921
2020-02-20,1144,2000
2020-02-21,654,1880
2020-02-22,7433,2939
2020-02-23,393,1963
2020-02-24,831,1873
2020-02-25,961,1953
2020-02-26,1369,1982
2020-02-27,848,1911
2020-02-28,1989,2008
2020-02-29,730,1865
2020-03-01,806,1858
2020-03-02,761,1901
2020-03-03,2489,2168
2020-03-04,685,1974
2020-03-05,748,1910
2020-03-06,1995,1974
2020-03-07,524,1806
2020-03-08,1241,1934
2020-03-09,2196,2051
2020-03-10,1398,2012
2020-03-11,2144,2043
2020-03-12,1981,2037
2020-03-13,493,1845
2020-03-14,334,1872
2020-03-15,1219,1995
2020-03-16,2410,2079
2020-03-17,1263,1953
2020-03-18,2194,2058
2020-03-19,786,1912
2020-03-20,1783,2025
2020-03-21,875,1934
2020-03-22,720,1935
2020-03-23,2049,2067
2020-03-24,1179,1986
2020-03-25,2353,2257
2020-03-26,700,1866
2020-03-27,2070,2094
2020-03-28,589,1867
2020-03-29,1714,1973
2020-03-30,1773,2010
2020-03-31,777,1950
