date,steps,calories
2019-11-01,11204,3221
2019-11-02,4435,2664
2019-11-03,0,1944
2019-11-04,0,1943
2019-11-05,6710,2706
2019-11-06,9079,3016
2019-11-07,4313,2475
2019-11-08,7825,2942
2019-11-09,3338,2388
2019-11-10,0,1943
2019-11-11,7356,2720
2019-11-12,7498,2836
2019-11-13,13,1959
2019-11-14,7284,2740
2019-11-15,4345,2402
2019-11-16,394,2058
2019-11-17,0,1943
2019-11-18,0,1943
2019-11-19,0,1943
2019-11-20,0,1943
2019-11-21,0,1943
2019-11-22,0,1943
2019-11-23,0,1943
2019-11-24,0,1943
2019-11-25,0,1943
2019-11-26,0,1943
2019-11-27,0,1943
2019-11-28,0,1943
2019-11-29,0,1943
2019-11-30,0,1943
2019-12-01,0,1943
2019-12-02,0,1943
2019-12-03,0,1943
2019-12-04,0,1943
2019-12-05,0,1943
2019-12-06,0,1943
2019-12-07,0,1929
2019-12-08,0,1929
2019-12-09,0,1929
2019-12-10,195,1929
2019-12-11,9113,3121
2019-12-12,10866,3446
2019-12-13,6389,3270
2019-12-14,6241,2753
2019-12-15,31,1933
2019-12-16,6116,2889
2019-12-17,9876,3526
2019-12-18,633,2024
2019-12-19,6,1933
2019-12-20,4872,2692
2019-12-21,8113,2939
2019-12-22,7278,3065
2019-12-23,9649,3305
2019-12-24,10406,3550
2019-12-25,4936,2754
2019-12-26,3867,2574
2019-12-27,33,1963
2019-12-28,5785,2748
2019-12-29,2207,2253
2019-12-30,9643,3348
2019-12-31,3946,2511
2020-01-01,904,2110
2020-01-02,2180,2305
2020-01-03,2877,2409
2020-01-04,11212,3529
2020-01-05,2918,2400
2020-01-06,9233,3028
2020-01-07,8382,2945
2020-01-08,7930,2838
2020-01-09,11060,3987
2020-01-10,7018,2704
2020-01-11,7,1940
2020-01-12,7019,2681
2020-01-13,9216,2987
2020-01-14,6320,2665
2020-01-15,9626,2978
2020-01-16,10940,3604
2020-01-17,6496,2647
2020-01-18,770,2058
2020-01-19,63,1954
2020-01-20,13172,3432
2020-01-21,0,1929
2020-01-22,8798,2940
2020-01-23,5879,2562
2020-01-24,7511,2807
2020-01-25,2093,2142
2020-01-26,858,2103
2020-01-27,9785,3271
2020-01-28,6588,2801
2020-01-29,9445,3133
2020-01-30,13800,4229
2020-01-31,10627,3076
2020-02-01,723,2075
2020-02-02,1365,2179
2020-02-03,9441,2964
2020-02-04,8628,2873
2020-02-05,11776,3161
2020-02-06,16964,4793
2020-02-07,11950,3112
2020-02-08,7,1929
2020-02-09,369,2002
2020-02-10,8216,2804
2020-02-11,8784,2823
2020-02-12,10918,3101
2020-02-13,7663,2842
2020-02-14,3971,2406
2020-02-15,4804,2589
2020-02-16,4866,2678
2020-02-17,7286,2874
2020-02-18,7337,2802
2020-02-19,6524,2750
2020-02-20,6825,2865
2020-02-21,7753,2865
2020-02-22,5051,2620
2020-02-23,450,2028
2020-02-24,10469,3691
2020-02-25,7822,2956
2020-02-26,6692,2820
2020-02-27,9114,3875
2020-02-28,1484,2149
2020-02-29,0,1929
2020-03-01,0,1929
2020-03-02,0,1929
2020-03-03,0,1929
2020-03-04,6135,2833
2020-03-05,9496,3229
2020-03-06,6780,2662
2020-03-07,3297,2269
2020-03-08,193,1958
2020-03-09,5448,2671
2020-03-10,4986,2521
2020-03-11,646,2053
2020-03-12,266,1973
2020-03-13,5577,2722
2020-03-14,2239,2223
2020-03-15,293,2012
2020-03-16,169,1945
2020-03-17,212,1947
2020-03-18,42,1947
2020-03-19,745,2099
2020-03-20,4182,2471
2020-03-21,1093,2132
2020-03-22,2763,2397
2020-03-23,2861,2485
2020-03-24,2084,2475
2020-03-25,17,1932
2020-03-26,1160,2179
2020-03-27,5906,2771
2020-03-28,0,1929
2020-03-29,1233,2101
2020-03-30,475,2046
2020-03-31,1462,2196
