date,steps,calories
2019-11-01,14306,3704
2019-11-02,13349,3383
2019-11-03,9037,3326
2019-11-04,13240,3481
2019-11-05,14898,3752
2019-11-06,11297,3228
2019-11-07,19247,4038
2019-11-08,12376,3393
2019-11-09,11928,3455
2019-11-10,1046,2086
2019-11-11,0,1929
2019-11-12,3836,2483
2019-11-13,13899,3727
2019-11-14,12427,3390
2019-11-15,16259,3945
2019-11-16,7808,2956
2019-11-17,13590,3548
2019-11-18,9090,3093
2019-11-19,13253,3844
2019-11-20,14021,3737
2019-11-21,12718,3521
2019-11-22,13553,3762
2019-11-23,9188,3292
2019-11-24,10260,3148
2019-11-25,8388,3234
2019-11-26,9234,3111
2019-11-27,13224,3886
2019-11-28,10623,3541
2019-11-29,11829,3566
2019-11-30,16879,4122
2019-12-01,14397,3592
2019-12-02,8942,3293
2019-12-03,9870,3365
2019-12-04,13212,3888
2019-12-05,10405,3110
2019-12-06,17324,4003
2019-12-07,12651,3456
2019-12-08,8625,2970
2019-12-09,15261,3956
2019-12-10,9313,3324
2019-12-11,15552,3733
2019-12-12,13895,3509
2019-12-13,11194,3279
2019-12-14,11141,3545
2019-12-15,7020,3661
2019-12-16,13252,3730
2019-12-17,14061,3817
2019-12-18,7878,3061
2019-12-19,15900,3578
2019-12-20,11961,3570
2019-12-21,18690,4131
2019-12-22,9624,3225
2019-12-23,12368,3500
2019-12-24,10200,3427
2019-12-25,5347,2708
2019-12-26,3456,2498
2019-12-27,8479,3064
2019-12-28,9967,3549
2019-12-29,8598,3147
2019-12-30,11069,3519
2019-12-31,16043,3808
2020-01-01,8504,3316
2020-01-02,19895,4322
2020-01-03,14771,3786
2020-01-04,12945,3523
2020-01-05,12778,3467
2020-01-06,23971,4528
2020-01-07,20148,4353
2020-01-08,14449,3855
2020-01-09,18777,4393
2020-01-10,17022,3934
2020-01-11,14881,3599
2020-01-12,7931,3019
2020-01-13,15027,3935
2020-01-14,13772,3587
2020-01-15,12578,3548
2020-01-16,14739,3887
2020-01-17,12373,3903
2020-01-18,10486,3303
2020-01-19,14659,3788
2020-01-20,13595,4037
2020-01-21,12411,3608
2020-01-22,14971,3889
2020-01-23,10476,3266
2020-01-24,17760,4014
2020-01-25,16373,3817
2020-01-26,11198,3243
2020-01-27,10941,4339
2020-01-28,12031,3548
2020-01-29,11400,3696
2020-01-30,19763,4144
2020-01-31,14158,3689
2020-02-01,9115,3077
2020-02-02,12442,3410
2020-02-03,12086,3808
2020-02-04,11657,3542
2020-02-05,13709,3592
2020-02-06,10270,3238
2020-02-07,13738,3781
2020-02-08,0,1943
2020-02-09,720,2046
2020-02-10,10720,3829
2020-02-11,12291,3779
2020-02-12,12584,3553
2020-02-13,9674,3625
2020-02-14,10930,3533
2020-02-15,15625,3604
2020-02-16,11345,3640
2020-02-17,12981,3654
2020-02-18,12881,3693
2020-02-19,12941,3907
2020-02-20,6669,2951
2020-02-21,13,1935
2020-02-22,0,1929
2020-02-23,0,1929
2020-02-24,0,1929
2020-02-25,0,1929
2020-02-26,0,1929
2020-02-27,0,1929
2020-02-28,1046,2078
2020-02-29,7713,2743
2020-03-01,12635,3730
2020-03-02,11468,3666
2020-03-03,11973,3688
2020-03-04,12980,4393
2020-03-05,2620,3977
2020-03-06,3420,2927
2020-03-07,9152,3278
2020-03-08,8854,3442
2020-03-09,9613,3359
2020-03-10,6039,3149
2020-03-11,6436,3219
2020-03-12,11886,3406
2020-03-13,11685,3359
2020-03-14,6954,3405
2020-03-15,8842,3317
2020-03-16,11481,3393
2020-03-17,14018,3522
2020-03-18,16775,3665
2020-03-19,7887,3018
2020-03-20,8825,3134
2020-03-21,8003,2942
2020-03-22,14280,3430
2020-03-23,8133,3028
2020-03-24,6293,3001
2020-03-25,4948,2913
2020-03-26,8396,3084
2020-03-27,7652,3121
2020-03-28,11424,3493
2020-03-29,9037,3033
2020-03-30,5516,2843
2020-03-31,466,1997
