date,steps,calories
2019-11-01,0,0
2019-11-02,0,0
2019-11-03,0,0
2019-11-04,0,0
2019-11-05,385,1778
2019-11-06,17228,3134
2019-11-07,16074,3404
2019-11-08,17375,3557
2019-11-09,18903,3598
2019-11-10,15647,3633
2019-11-11,21991,3968
2019-11-12,15502,3754
2019-11-13,21369,4349
2019-11-14,9948,2906
2019-11-15,14219,3802
2019-11-16,16322,3835
2019-11-17,4918,2392
2019-11-18,24041,4714
2019-11-19,1409,1883
2019-11-20,19635,3488
2019-11-21,12469,3053
2019-11-22,11579,3863
2019-11-23,17081,3595
2019-11-24,3132,2304
2019-11-25,22800,4074
2019-11-26,22487,3639
2019-11-27,21967,4078
2019-11-28,9594,2721
2019-11-29,16534,3269
2019-11-30,15134,3370
2019-12-01,20025,3629
2019-12-02,26116,4072
2019-12-03,14643,3530
2019-12-04,10886,2927
2019-12-05,19220,3963
2019-12-06,16187,3502
2019-12-07,21078,4000
2019-12-08,21623,4116
2019-12-09,17015,3769
2019-12-10,9379,2849
2019-12-11,14888,3084
2019-12-12,19928,3972
2019-12-13,18049,3642
2019-12-14,11890,3047
2019-12-15,19888,3738
2019-12-16,17538,3478
2019-12-17,14124,3044
2019-12-18,23793,4368
2019-12-19,13145,3128
2019-12-20,22707,4168
2019-12-21,10055,2970
2019-12-22,9569,3263
2019-12-23,9261,2845
2019-12-24,15626,3763
2019-12-25,14476,3359
2019-12-26,18867,3878
2019-12-27,9417,2789
2019-12-28,16565,3682
2019-12-29,8065,2752
2019-12-30,15828,3670
2019-12-31,1058,1862
2020-01-01,239,1749
2020-01-02,8414,2995
2020-01-03,15541,3253
2020-01-04,16953,3419
2020-01-05,13684,3316
2020-01-06,21047,5204
2020-01-07,21214,4129
2020-01-08,22660,3950
2020-01-09,12857,2962
2020-01-10,20111,4373
2020-01-11,5824,2587
2020-01-12,13801,4056
2020-01-13,15668,3112
2020-01-14,21089,4162
2020-01-15,24040,4259
2020-01-16,15446,3260
2020-01-17,23550,4296
2020-01-18,15735,3733
2020-01-19,10183,2683
2020-01-20,15403,3154
2020-01-21,24495,4333
2020-01-22,20276,3923
2020-01-23,16213,3583
2020-01-24,21309,3936
2020-01-25,7550,2657
2020-01-26,4766,2283
2020-01-27,27156,4771
2020-01-28,14874,3059
2020-01-29,20667,3793
2020-01-30,12191,3588
2020-01-31,14950,3455
2020-02-01,11957,3115
2020-02-02,17758,3491
2020-02-03,16166,3287
2020-02-04,15195,3647
2020-02-05,17319,3768
2020-02-06,14191,3140
2020-02-07,16075,3562
2020-02-08,19941,3828
2020-02-09,10319,2818
2020-02-10,9845,2692
2020-02-11,19587,3656
2020-02-12,26750,4130
2020-02-13,19540,3873
2020-02-14,13895,3280
2020-02-15,17449,3732
2020-02-16,23982,4386
2020-02-17,12872,3273
2020-02-18,14934,3066
2020-02-19,25436,4669
2020-02-20,28029,4382
2020-02-21,17634,4098
2020-02-22,13643,2965
2020-02-23,17558,3425
2020-02-24,14370,3062
2020-02-25,6731,2729
2020-02-26,21897,4902
2020-02-27,31147,4830
2020-02-28,6665,2535
2020-02-29,27295,4246
2020-03-01,12031,2924
2020-03-02,23021,4132
2020-03-03,23647,4297
2020-03-04,17096,3328
2020-03-05,15797,3490
2020-03-06,19857,3773
2020-03-07,16197,3494
2020-03-08,10894,2917
2020-03-09,24870,3958
2020-03-10,12198,3030
2020-03-11,18491,3618
2020-03-12,10341,2998
2020-03-13,16566,3478
2020-03-14,20861,4210
2020-03-15,17450,3623
2020-03-16,10922,2823
2020-03-17,15858,3761
2020-03-18,12603,3023
2020-03-19,19589,4882
2020-03-20,16234,3825
2020-03-21,13056,3181
2020-03-22,12485,3167
2020-03-23,17238,3870
2020-03-24,10874,2812
2020-03-25,9817,2811
2020-03-26,5102,2905
2020-03-27,15078,3290
2020-03-28,17133,3533
2020-03-29,13039,3028
2020-03-30,18485,3407
2020-03-31,15137,3249
