date,steps,calories
2019-11-01,9503,2835
2019-11-02,0,1684
2019-11-03,9784,2659
2019-11-04,11409,2947
2019-11-05,7290,2599
2019-11-06,7393,2617
2019-11-07,4211,2296
2019-11-08,9382,2808
2019-11-09,11087,2761
2019-11-10,5293,2446
2019-11-11,5954,2341
2019-11-12,8811,2743
2019-11-13,11753,2970
2019-11-14,9503,2711
2019-11-15,11678,2823
2019-11-16,10768,2733
2019-11-17,6839,2967
2019-11-18,12851,3006
2019-11-19,6063,2642
2019-11-20,10011,3051
2019-11-21,10289,2919
2019-11-22,11565,3116
2019-11-23,5499,2350
2019-11-24,7000,2479
2019-11-25,17833,3554
2019-11-26,8302,2747
2019-11-27,14453,3233
2019-11-28,8909,2672
2019-11-29,18029,3586
2019-11-30,14495,3270
2019-12-01,7090,2615
2019-12-02,12488,3039
2019-12-03,8768,2763
2019-12-04,12803,3106
2019-12-05,6412,2495
2019-12-06,11494,2767
2019-12-07,11124,2676
2019-12-08,10245,2883
2019-12-09,10649,2846
2019-12-10,11051,2890
2019-12-11,14109,3045
2019-12-12,11763,2801
2019-12-13,4502,2246
2019-12-14,7282,2472
2019-12-15,8684,2689
2019-12-16,7970,2581
2019-12-17,14029,3101
2019-12-18,11263,2843
2019-12-19,6531,2501
2019-12-20,9536,2705
2019-12-21,7749,2418
2019-12-22,3249,2148
2019-12-23,3636,2175
2019-12-24,0,1699
2019-12-25,0,1699
2019-12-26,0,1699
2019-12-27,0,1699
2019-12-28,0,1699
2019-12-29,0,1699
2019-12-30,0,1699
2019-12-31,0,1684
2020-01-01,0,1684
2020-01-02,8096,2505
2020-01-03,7312,2518
2020-01-04,14869,2802
2020-01-05,5902,2471
2020-01-06,15374,3163
2020-01-07,8090,2513
2020-01-08,12800,2947
2020-01-09,7478,2517
2020-01-10,15846,3542
2020-01-11,7741,2492
2020-01-12,20237,3666
2020-01-13,13283,3137
2020-01-14,7560,2452
2020-01-15,10759,2903
2020-01-16,11032,2708
2020-01-17,14791,3035
2020-01-18,23737,3587
2020-01-19,22837,3602
2020-01-20,4788,2257
2020-01-21,7475,2623
2020-01-22,12593,3124
2020-01-23,10007,2742
2020-01-24,5920,2345
2020-01-25,17635,3157
2020-01-26,10014,2607
2020-01-27,13850,3120
2020-01-28,12027,2888
2020-01-29,17317,3156
2020-01-30,11810,2915
2020-01-31,10515,2959
2020-02-01,10258,2868
2020-02-02,15384,3433
2020-02-03,7918,2664
2020-02-04,8559,2638
2020-02-05,17918,3617
2020-02-06,7912,2597
2020-02-07,17338,3321
2020-02-08,13047,2912
2020-02-09,6861,2649
2020-02-10,11512,2966
2020-02-11,10009,2740
2020-02-12,13878,3281
2020-02-13,9259,2780
2020-02-14,11761,3047
2020-02-15,9388,2857
2020-02-16,9024,2871
2020-02-17,14977,3241
2020-02-18,18290,3041
2020-02-19,16893,3261
2020-02-20,8159,2634
2020-02-21,8664,2642
2020-02-22,23546,3483
2020-02-23,17145,3024
2020-02-24,5835,2404
2020-02-25,10583,2901
2020-02-26,10772,2821
2020-02-27,9274,2660
2020-02-28,14767,3026
2020-02-29,5174,2246
2020-03-01,2926,2148
2020-03-02,10825,3012
2020-03-03,8495,2674
2020-03-04,4225,2222
2020-03-05,10426,2773
2020-03-06,3417,2025
2020-03-07,2139,1924
2020-03-08,6349,2371
2020-03-09,14350,3143
2020-03-10,2483,1890
2020-03-11,9989,2712
2020-03-12,5175,2032
2020-03-13,3723,2227
2020-03-14,6255,2258
2020-03-15,0,1695
2020-03-16,0,1692
2020-03-17,0,1684
2020-03-18,0,1670
2020-03-19,0,1684
2020-03-20,0,1684
2020-03-21,0,1684
2020-03-22,0,1685
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,0,0
2020-03-26,0,0
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
