date,steps,calories
2019-11-01,0,0
2019-11-02,0,0
2019-11-03,0,0
2019-11-04,0,0
2019-11-05,0,0
2019-11-06,9370,2538
2019-11-07,19979,3420
2019-11-08,9614,2638
2019-11-09,28445,5465
2019-11-10,6203,2304
2019-11-11,17453,3266
2019-11-12,7921,2414
2019-11-13,19280,3288
2019-11-14,15531,3133
2019-11-15,19813,3397
2019-11-16,14579,3731
2019-11-17,21765,3424
2019-11-18,10932,2730
2019-11-19,14873,3028
2019-11-20,19472,3257
2019-11-21,18312,3305
2019-11-22,9074,2518
2019-11-23,11397,2872
2019-11-24,19537,3272
2019-11-25,13398,2863
2019-11-26,16422,3227
2019-11-27,15625,2959
2019-11-28,13232,3008
2019-11-29,9231,2707
2019-11-30,15790,3268
2019-12-01,31707,3945
2019-12-02,30035,4045
2019-12-03,16270,3195
2019-12-04,17440,3113
2019-12-05,21781,3497
2019-12-06,22630,3833
2019-12-07,18632,3389
2019-12-08,30416,3989
2019-12-09,17470,3277
2019-12-10,18436,3378
2019-12-11,15245,2854
2019-12-12,29998,4458
2019-12-13,21029,3817
2019-12-14,18222,3140
2019-12-15,20183,3657
2019-12-16,23522,3648
2019-12-17,28754,4240
2019-12-18,20818,3290
2019-12-19,23077,3831
2019-12-20,19588,3298
2019-12-21,16151,3177
2019-12-22,7406,2419
2019-12-23,12491,3051
2019-12-24,17564,3288
2019-12-25,10460,2861
2019-12-26,15184,3360
2019-12-27,18456,3272
2019-12-28,14550,3092
2019-12-29,8846,2420
2019-12-30,20974,3573
2019-12-31,15055,3432
2020-01-01,14003,3056
2020-01-02,15983,3097
2020-01-03,4838,2295
2020-01-04,22969,3519
2020-01-05,2658,2036
2020-01-06,4380,2106
2020-01-07,4684,2222
2020-01-08,12645,2834
2020-01-09,12193,2737
2020-01-10,9793,2813
2020-01-11,12598,3139
2020-01-12,11096,2847
2020-01-13,14040,3334
2020-01-14,16414,3112
2020-01-15,13188,3166
2020-01-16,17111,3266
2020-01-17,16374,2910
2020-01-18,19165,3379
2020-01-19,11050,2921
2020-01-20,18419,3408
2020-01-21,20977,3345
2020-01-22,18415,3334
2020-01-23,23137,3884
2020-01-24,12725,3174
2020-01-25,17460,3383
2020-01-26,12824,3044
2020-01-27,19564,3377
2020-01-28,20089,3433
2020-01-29,20035,3395
2020-01-30,18376,3212
2020-01-31,18378,3233
2020-02-01,19582,3416
2020-02-02,15201,3040
2020-02-03,11216,2976
2020-02-04,20606,3508
2020-02-05,14532,3183
2020-02-06,14395,3543
2020-02-07,22472,3614
2020-02-08,21255,3626
2020-02-09,14359,3561
2020-02-10,19868,3391
2020-02-11,18162,3541
2020-02-12,20221,3263
2020-02-13,18706,3591
2020-02-14,15511,3225
2020-02-15,16321,3702
2020-02-16,13991,3375
2020-02-17,16192,3126
2020-02-18,17894,3296
2020-02-19,16755,3461
2020-02-20,14690,2889
2020-02-21,14177,2983
2020-02-22,17658,3457
2020-02-23,17626,3245
2020-02-24,18708,3394
2020-02-25,20387,3754
2020-02-26,18638,3170
2020-02-27,18541,3571
2020-02-28,19354,3179
2020-02-29,18500,3916
2020-03-01,11447,2886
2020-03-02,7956,2587
2020-03-03,11655,3013
2020-03-04,12329,3300
2020-03-05,15459,3248
2020-03-06,7428,2565
2020-03-07,9694,2676
2020-03-08,14301,3706
2020-03-09,9040,2595
2020-03-10,8661,2603
2020-03-11,19547,3392
2020-03-12,17177,3053
2020-03-13,13408,3058
2020-03-14,13755,3007
2020-03-15,5353,2502
2020-03-16,12271,2996
2020-03-17,15290,3104
2020-03-18,14934,2999
2020-03-19,10190,3013
2020-03-20,12551,2917
2020-03-21,21638,3758
2020-03-22,7912,2650
2020-03-23,12148,3148
2020-03-24,18611,3507
2020-03-25,3931,2631
2020-03-26,17300,3409
2020-03-27,20674,3890
2020-03-28,11656,3202
2020-03-29,1720,2097
2020-03-30,8806,2888
2020-03-31,13805,2616
