date,steps,calories
2019-11-01,4014,2427
2019-11-02,2775,2199
2019-11-03,9663,3134
2019-11-04,6140,2811
2019-11-05,5704,2683
2019-11-06,6801,2844
2019-11-07,6189,2799
2019-11-08,2186,2336
2019-11-09,8016,3655
2019-11-10,4746,3057
2019-11-11,319,2010
2019-11-12,5992,2957
2019-11-13,3210,2323
2019-11-14,5347,2642
2019-11-15,12562,3438
2019-11-16,5634,3242
2019-11-17,1725,2607
2019-11-18,352,2027
2019-11-19,459,2068
2019-11-20,6596,2858
2019-11-21,4687,2587
2019-11-22,8587,3420
2019-11-23,3245,2449
2019-11-24,354,2084
2019-11-25,3865,2566
2019-11-26,4027,2554
2019-11-27,5725,2728
2019-11-28,5065,2762
2019-11-29,13118,3589
2019-11-30,11517,3442
2019-12-01,3522,2386
2019-12-02,6806,2698
2019-12-03,9594,3163
2019-12-04,4644,2562
2019-12-05,7357,3033
2019-12-06,5747,2565
2019-12-07,8886,2881
2019-12-08,5117,3033
2019-12-09,4124,2510
2019-12-10,4132,2549
2019-12-11,888,2104
2019-12-12,3619,2603
2019-12-13,10448,3322
2019-12-14,10388,3532
2019-12-15,10697,3175
2019-12-16,4854,2354
2019-12-17,5826,2854
2019-12-18,10409,3134
2019-12-19,5280,2560
2019-12-20,4436,2510
2019-12-21,8430,2987
2019-12-22,6022,2919
2019-12-23,9549,2837
2019-12-24,5233,2858
2019-12-25,4785,2810
2019-12-26,5679,3028
2019-12-27,3147,2663
2019-12-28,5371,2632
2019-12-29,2271,2358
2019-12-30,8260,2873
2019-12-31,9176,2919
2020-01-01,6234,2933
2020-01-02,165,1980
2020-01-03,5755,2685
2020-01-04,8699,2982
2020-01-05,6554,2902
2020-01-06,1312,2175
2020-01-07,11237,3449
2020-01-08,10725,3177
2020-01-09,4836,2682
2020-01-10,7009,2986
2020-01-11,13537,4794
2020-01-12,10405,3579
2020-01-13,2873,2323
2020-01-14,284,1996
2020-01-15,8608,3075
2020-01-16,4151,2395
2020-01-17,8330,3118
2020-01-18,9195,3163
2020-01-19,30406,5012
2020-01-20,1164,2095
2020-01-21,6124,2780
2020-01-22,7203,2722
2020-01-23,5302,2514
2020-01-24,8010,2981
2020-01-25,8447,3109
2020-01-26,11427,3256
2020-01-27,6108,2648
2020-01-28,13,1959
2020-01-29,3354,2399
2020-01-30,10313,3264
2020-01-31,1139,2067
2020-02-01,18884,3648
2020-02-02,11896,3583
2020-02-03,3497,2397
2020-02-04,3743,2367
2020-02-05,9208,3106
2020-02-06,7798,3217
2020-02-07,4091,2391
2020-02-08,19,1900
2020-02-09,3396,2449
2020-02-10,5310,2558
2020-02-11,5886,2599
2020-02-12,8447,2866
2020-02-13,4751,2601
2020-02-14,11276,3454
2020-02-15,4420,2609
2020-02-16,0,1911
2020-02-17,29,1925
2020-02-18,4087,2467
2020-02-19,6449,2671
2020-02-20,5650,2540
2020-02-21,4509,2603
2020-02-22,14332,3340
2020-02-23,11455,3753
2020-02-24,5331,2659
2020-02-25,9062,3622
2020-02-26,3619,2484
2020-02-27,72,1933
2020-02-28,6726,2880
2020-02-29,12012,4033
2020-03-01,5067,2679
2020-03-02,5604,2803
2020-03-03,3437,2388
2020-03-04,5935,2800
2020-03-05,3325,2440
2020-03-06,885,2160
2020-03-07,9524,3449
2020-03-08,10408,3410
2020-03-09,561,2027
2020-03-10,6066,2488
2020-03-11,50,1925
2020-03-12,718,2081
2020-03-13,6924,2874
2020-03-14,0,1900
2020-03-15,4625,2455
2020-03-16,1874,2431
2020-03-17,5537,2776
2020-03-18,1564,2211
2020-03-19,2038,2500
2020-03-20,17613,3892
2020-03-21,1338,2432
2020-03-22,953,2134
2020-03-23,238,2001
2020-03-24,470,2038
2020-03-25,667,2047
2020-03-26,6150,2621
2020-03-27,492,2080
2020-03-28,3982,3040
2020-03-29,1173,2469
2020-03-30,1070,2149
2020-03-31,454,2036
