date,steps,calories
2019-11-01,0,0
2019-11-02,0,0
2019-11-03,0,0
2019-11-04,0,0
2019-11-05,0,0
2019-11-06,0,0
2019-11-07,0,0
2019-11-08,0,0
2019-11-09,0,0
2019-11-10,0,0
2019-11-11,15051,2896
2019-11-12,15896,3092
2019-11-13,7230,2250
2019-11-14,9631,2447
2019-11-15,14562,3144
2019-11-16,14437,3274
2019-11-17,16003,3522
2019-11-18,18871,3841
2019-11-19,17125,3912
2019-11-20,13893,3618
2019-11-21,16814,3831
2019-11-22,20085,4385
2019-11-23,823,2008
2019-11-24,21119,4192
2019-11-25,17368,3951
2019-11-26,20929,4050
2019-11-27,24328,4868
2019-11-28,22289,4446
2019-11-29,9959,3204
2019-11-30,22558,4617
2019-12-01,0,1847
2019-12-02,0,1843
2019-12-03,0,1843
2019-12-04,0,1843
2019-12-05,0,1843
2019-12-06,0,1843
2019-12-07,0,1828
2019-12-08,0,1828
2019-12-09,6655,2583
2019-12-10,11485,3287
2019-12-11,5534,2844
2019-12-12,10272,3662
2019-12-13,16394,3919
2019-12-14,15090,3615
2019-12-15,19092,3010
2019-12-16,8198,2827
2019-12-17,8415,2905
2019-12-18,9350,3377
2019-12-19,22013,4780
2019-12-20,25148,4603
2019-12-21,17831,4020
2019-12-22,13994,3457
2019-12-23,12387,3449
2019-12-24,0,1828
2019-12-25,0,1828
2019-12-26,0,1828
2019-12-27,4851,2691
2019-12-28,9400,3116
2019-12-29,805,1958
2019-12-30,0,1843
2019-12-31,0,1843
2020-01-01,1792,2071
2020-01-02,16762,3707
2020-01-03,3617,2353
2020-01-04,1954,2215
2020-01-05,3751,2515
2020-01-06,13189,3768
2020-01-07,13332,3497
2020-01-08,8074,2781
2020-01-09,7381,2778
2020-01-10,8602,2967
2020-01-11,7332,2668
2020-01-12,0,1843
2020-01-13,0,1843
2020-01-14,0,1843
2020-01-15,0,1843
2020-01-16,0,1843
2020-01-17,0,1843
2020-01-18,0,1843
2020-01-19,2097,2170
2020-01-20,0,1843
2020-01-21,0,1843
2020-01-22,0,1843
2020-01-23,0,1843
2020-01-24,477,1857
2020-01-25,21284,4040
2020-01-26,18753,3832
2020-01-27,10270,3271
2020-01-28,5988,2543
2020-01-29,11335,3125
2020-01-30,2902,2307
2020-01-31,3806,2305
2020-02-01,908,2030
2020-02-02,10057,3232
2020-02-03,11547,3268
2020-02-04,6466,2654
2020-02-05,6075,2586
2020-02-06,6160,2760
2020-02-07,6506,2637
2020-02-08,40,1920
2020-02-09,5347,2622
2020-02-10,4724,2307
2020-02-11,23,1963
2020-02-12,6503,2573
2020-02-13,7958,2792
2020-02-14,8500,2756
2020-02-15,38,1848
2020-02-16,4931,2492
2020-02-17,3543,2310
2020-02-18,8646,2857
2020-02-19,12552,3164
2020-02-20,0,1868
2020-02-21,0,1843
2020-02-22,0,1843
2020-02-23,0,1843
2020-02-24,0,1843
2020-02-25,0,1843
2020-02-26,0,1843
2020-02-27,0,1843
2020-02-28,0,1843
2020-02-29,0,1843
2020-03-01,0,1843
2020-03-02,0,1843
2020-03-03,0,1843
2020-03-04,0,1843
2020-03-05,0,1843
2020-03-06,0,1843
2020-03-07,0,1843
2020-03-08,0,1843
2020-03-09,0,1843
2020-03-10,0,1843
2020-03-11,0,1843
2020-03-12,0,1843
2020-03-13,0,1843
2020-03-14,0,1843
2020-03-15,0,1843
2020-03-16,0,1843
2020-03-17,0,1843
2020-03-18,0,1843
2020-03-19,0,1843
2020-03-20,7204,2749
2020-03-21,867,2015
2020-03-22,0,1843
2020-03-23,0,1843
2020-03-24,0,1843
2020-03-25,0,1843
2020-03-26,93,1859
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
