date,steps,calories
2019-11-01,17873,4009
2019-11-02,13118,3533
2019-11-03,14312,3748
2019-11-04,10970,3353
2019-11-05,16186,3794
2019-11-06,8189,3192
2019-11-07,8710,3143
2019-11-08,12888,3640
2019-11-09,16450,3912
2019-11-10,17843,4014
2019-11-11,12519,3614
2019-11-12,10392,3386
2019-11-13,11185,3312
2019-11-14,19220,4556
2019-11-15,18259,4156
2019-11-16,15305,4010
2019-11-17,11916,3479
2019-11-18,8241,3394
2019-11-19,7134,3002
2019-11-20,10116,3380
2019-11-21,19747,4533
2019-11-22,10938,3372
2019-11-23,20704,4451
2019-11-24,16517,3930
2019-11-25,12481,3488
2019-11-26,16428,4021
2019-11-27,10556,3238
2019-11-28,17535,4367
2019-11-29,16209,3913
2019-11-30,10782,3410
2019-12-01,13736,3664
2019-12-02,12224,3356
2019-12-03,18142,4261
2019-12-04,11745,3473
2019-12-05,18234,4357
2019-12-06,10401,3254
2019-12-07,14898,3862
2019-12-08,15805,3977
2019-12-09,11223,3429
2019-12-10,7708,3024
2019-12-11,9855,3363
2019-12-12,10728,3415
2019-12-13,15910,3858
2019-12-14,15348,3775
2019-12-15,21362,4430
2019-12-16,10489,3357
2019-12-17,12437,3598
2019-12-18,14775,3736
2019-12-19,18894,4081
2019-12-20,13110,3661
2019-12-21,17760,3938
2019-12-22,18170,4316
2019-12-23,17227,3997
2019-12-24,13316,3962
2019-12-25,11804,3455
2019-12-26,16891,4476
2019-12-27,10161,3357
2019-12-28,12445,3820
2019-12-29,13699,3896
2019-12-30,10187,3149
2019-12-31,11490,3477
2020-01-01,11847,3563
2020-01-02,10346,3169
2020-01-03,17431,3954
2020-01-04,16170,4092
2020-01-05,11425,3377
2020-01-06,11322,3283
2020-01-07,17638,4237
2020-01-08,8149,3045
2020-01-09,13189,3794
2020-01-10,13733,3556
2020-01-11,13736,3463
2020-01-12,8820,2981
2020-01-13,8564,3354
2020-01-14,17723,4091
2020-01-15,14145,3597
2020-01-16,13888,4078
2020-01-17,12501,3499
2020-01-18,13480,3862
2020-01-19,13255,3408
2020-01-20,7492,3110
2020-01-21,11684,3381
2020-01-22,10162,3375
2020-01-23,15169,4139
2020-01-24,10721,3429
2020-01-25,18231,4189
2020-01-26,18422,3863
2020-01-27,9026,3329
2020-01-28,14473,3720
2020-01-29,4749,2726
2020-01-30,14398,4399
2020-01-31,12231,3785
2020-02-01,14409,3889
2020-02-02,11652,3784
2020-02-03,10754,3719
2020-02-04,8898,3043
2020-02-05,18685,4362
2020-02-06,24846,5225
2020-02-07,8131,3006
2020-02-08,14197,3578
2020-02-09,8963,3140
2020-02-10,15052,4160
2020-02-11,10533,3559
2020-02-12,10839,3473
2020-02-13,13617,3875
2020-02-14,7819,3216
2020-02-15,6833,2984
2020-02-16,8837,3000
2020-02-17,10674,3526
2020-02-18,10533,3079
2020-02-19,18691,4069
2020-02-20,7720,2981
2020-02-21,17992,4415
2020-02-22,15947,4015
2020-02-23,12227,3582
2020-02-24,7427,2908
2020-02-25,7365,3385
2020-02-26,12554,3747
2020-02-27,19534,4697
2020-02-28,12513,3630
2020-02-29,21999,4958
2020-03-01,21553,4790
2020-03-02,11335,3266
2020-03-03,10117,3221
2020-03-04,13093,4093
2020-03-05,20119,5053
2020-03-06,10480,3368
2020-03-07,12847,3443
2020-03-08,13115,3568
2020-03-09,7240,2952
2020-03-10,13280,3753
2020-03-11,8855,2892
2020-03-12,9835,3187
2020-03-13,8744,3051
2020-03-14,9026,3207
2020-03-15,9937,3233
2020-03-16,6939,2878
2020-03-17,7952,2932
2020-03-18,6403,2838
2020-03-19,8331,3178
2020-03-20,7189,2901
2020-03-21,14653,3748
2020-03-22,4773,2785
2020-03-23,5897,2854
2020-03-24,5439,2798
2020-03-25,9121,3160
2020-03-26,7357,3104
2020-03-27,11532,3383
2020-03-28,16448,3967
2020-03-29,6698,2832
2020-03-30,4761,2696
2020-03-31,9351,3176
