date,steps,calories
2019-11-01,0,0
2019-11-02,0,0
2019-11-03,0,0
2019-11-04,0,0
2019-11-05,0,0
2019-11-06,0,0
2019-11-07,0,0
2019-11-08,0,0
2019-11-09,0,0
2019-11-10,0,0
2019-11-11,0,1498
2019-11-12,0,1497
2019-11-13,0,1497
2019-11-14,0,1497
2019-11-15,21596,3409
2019-11-16,11560,2809
2019-11-17,2609,2406
2019-11-18,16007,3002
2019-11-19,7604,2648
2019-11-20,11893,2692
2019-11-21,22653,3611
2019-11-22,21624,3125
2019-11-23,17960,3018
2019-11-24,17195,3110
2019-11-25,8115,2171
2019-11-26,14344,2829
2019-11-27,13874,2617
2019-11-28,20110,3108
2019-11-29,14164,2552
2019-11-30,7667,2317
2019-12-01,8142,2611
2019-12-02,15265,2780
2019-12-03,11528,2443
2019-12-04,13374,2713
2019-12-05,19946,3499
2019-12-06,3324,1951
2019-12-07,8883,2397
2019-12-08,6033,2138
2019-12-09,8470,2421
2019-12-10,6579,2148
2019-12-11,22884,3466
2019-12-12,10954,3124
2019-12-13,4630,2227
2019-12-14,25631,3421
2019-12-15,12004,2872
2019-12-16,21262,3167
2019-12-17,13750,2845
2019-12-18,15139,2800
2019-12-19,19862,3302
2019-12-20,17849,3097
2019-12-21,16941,3076
2019-12-22,3350,2118
2019-12-23,8428,2218
2019-12-24,7402,2192
2019-12-25,3549,2150
2019-12-26,8897,2327
2019-12-27,3790,2020
2019-12-28,17923,3524
2019-12-29,11288,2587
2019-12-30,17595,3337
2019-12-31,8429,2761
2020-01-01,6572,2466
2020-01-02,27995,3638
2020-01-03,17121,3195
2020-01-04,15798,2910
2020-01-05,3500,2037
2020-01-06,18569,3193
2020-01-07,7673,2272
2020-01-08,15611,2886
2020-01-09,14725,2905
2020-01-10,8693,2368
2020-01-11,6316,2368
2020-01-12,7784,2288
2020-01-13,15459,2879
2020-01-14,11648,2428
2020-01-15,8299,2333
2020-01-16,12397,2663
2020-01-17,25173,3626
2020-01-18,17569,2967
2020-01-19,9128,2240
2020-01-20,10607,2883
2020-01-21,11421,2848
2020-01-22,9089,2229
2020-01-23,16862,3164
2020-01-24,11262,2513
2020-01-25,9743,3788
2020-01-26,17863,3024
2020-01-27,7847,2288
2020-01-28,7334,2173
2020-01-29,10488,2436
2020-01-30,21837,3322
2020-01-31,17140,3034
2020-02-01,16336,2899
2020-02-02,11730,2492
2020-02-03,8515,2503
2020-02-04,13513,2813
2020-02-05,7215,2291
2020-02-06,16921,2943
2020-02-07,8743,2387
2020-02-08,13756,3561
2020-02-09,6699,2357
2020-02-10,20762,3868
2020-02-11,7358,2305
2020-02-12,11139,2647
2020-02-13,10801,2843
2020-02-14,8941,2309
2020-02-15,18391,3018
2020-02-16,6023,2182
2020-02-17,10987,3028
2020-02-18,6469,2141
2020-02-19,17656,3074
2020-02-20,13176,3118
2020-02-21,14867,2778
2020-02-22,6757,2146
2020-02-23,9635,2880
2020-02-24,12761,2756
2020-02-25,8753,2251
2020-02-26,6878,2232
2020-02-27,20511,3465
2020-02-28,1668,1785
2020-02-29,22380,3337
2020-03-01,15979,3352
2020-03-02,7996,2319
2020-03-03,7515,2204
2020-03-04,10831,2728
2020-03-05,15097,2964
2020-03-06,5706,2121
2020-03-07,9353,2549
2020-03-08,2153,1894
2020-03-09,4904,1975
2020-03-10,6880,2204
2020-03-11,16385,2803
2020-03-12,21313,3378
2020-03-13,3950,1820
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,0,0
2020-03-26,0,0
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
