date,steps,calories
2019-11-01,0,0
2019-11-02,0,0
2019-11-03,0,0
2019-11-04,0,0
2019-11-05,0,0
2019-11-06,0,0
2019-11-07,0,0
2019-11-08,0,0
2019-11-09,0,0
2019-11-10,0,0
2019-11-11,0,0
2019-11-12,0,0
2019-11-13,0,0
2019-11-14,8725,2373
2019-11-15,16612,3261
2019-11-16,6010,2229
2019-11-17,8845,2392
2019-11-18,10527,2576
2019-11-19,16672,3398
2019-11-20,9928,2435
2019-11-21,6067,2184
2019-11-22,1146,1818
2019-11-23,17345,2989
2019-11-24,23292,3331
2019-11-25,5977,2288
2019-11-26,9814,2653
2019-11-27,10753,2553
2019-11-28,11064,2617
2019-11-29,514,1714
2019-11-30,0,1627
2019-12-01,0,1627
2019-12-02,16616,3428
2019-12-03,10993,2702
2019-12-04,11020,2681
2019-12-05,7162,2471
2019-12-06,13555,2812
2019-12-07,12952,2788
2019-12-08,1223,1835
2019-12-09,9042,2916
2019-12-10,17335,3288
2019-12-11,10756,2521
2019-12-12,9290,2333
2019-12-13,17971,3349
2019-12-14,54,1638
2019-12-15,0,1627
2019-12-16,9089,2428
2019-12-17,9971,2457
2019-12-18,9373,2636
2019-12-19,4747,2253
2019-12-20,16968,3127
2019-12-21,15757,2847
2019-12-22,14911,2740
2019-12-23,6797,2429
2019-12-24,5368,2268
2019-12-25,14140,2748
2019-12-26,10475,2749
2019-12-27,12293,2788
2019-12-28,9953,2503
2019-12-29,8352,2498
2019-12-30,9495,2722
2019-12-31,8441,2658
2020-01-01,7276,2599
2020-01-02,14414,2662
2020-01-03,9461,2627
2020-01-04,2501,1886
2020-01-05,9759,2469
2020-01-06,15513,3006
2020-01-07,11182,2594
2020-01-08,16395,2949
2020-01-09,18755,3111
2020-01-10,11099,2648
2020-01-11,17918,3046
2020-01-12,10707,2322
2020-01-13,9647,2441
2020-01-14,18400,3419
2020-01-15,17044,3034
2020-01-16,25773,3489
2020-01-17,14873,2931
2020-01-18,25060,3443
2020-01-19,14575,2639
2020-01-20,11051,2467
2020-01-21,21716,3481
2020-01-22,17775,3094
2020-01-23,19970,3154
2020-01-24,13903,2671
2020-01-25,7362,2308
2020-01-26,14724,2775
2020-01-27,10442,2531
2020-01-28,18829,3300
2020-01-29,6481,2162
2020-01-30,13178,2575
2020-01-31,12282,2532
2020-02-01,10650,2372
2020-02-02,4595,2008
2020-02-03,11002,2461
2020-02-04,19215,3171
2020-02-05,16118,2927
2020-02-06,14674,2899
2020-02-07,10025,2466
2020-02-08,31077,3892
2020-02-09,17831,2909
2020-02-10,9144,2499
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,0,0
2020-03-26,0,0
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
